UserID,age,gender,occupation,clusterNum
2,1,2,10,3
3,56,1,16,5
4,25,1,15,9
5,45,1,7,3
6,25,1,20,5
7,50,2,9,7
8,35,1,1,0
9,25,1,12,3
10,25,1,17,3
11,35,2,1,8
12,25,2,1,3
13,25,1,12,3
14,45,1,1,3
15,35,1,0,3
16,25,1,7,8
17,35,2,0,2
18,50,1,1,3
19,18,2,3,9
20,1,1,10,3
21,25,1,14,1
22,18,1,16,2
23,18,1,15,6
24,35,1,0,4
25,25,2,7,5
26,18,1,4,4
27,25,1,7,3
28,25,1,11,9
29,25,2,1,5
30,35,1,7,5
31,35,2,7,4
32,56,1,7,8
33,25,2,0,0
34,45,1,3,4
35,18,2,0,4
36,45,1,1,7
37,25,1,3,9
38,25,2,9,5
39,18,2,4,9
40,18,1,4,4
41,45,1,0,6
42,18,2,4,3
43,25,1,8,8
44,25,1,12,4
45,45,1,17,4
46,45,2,16,5
47,18,1,19,6
48,18,1,4,1
49,25,1,4,4
50,18,1,12,3
51,25,2,2,0
52,1,2,10,3
53,18,1,4,9
54,25,1,0,5
55,50,1,1,9
56,35,2,12,0
57,35,1,20,8
58,18,1,19,6
59,25,1,2,8
60,50,2,1,5
61,50,1,1,3
62,25,1,17,0
63,35,2,3,8
64,18,1,4,9
65,18,1,1,3
66,35,1,12,3
67,25,1,18,3
68,50,2,5,8
69,18,1,4,9
70,25,2,1,9
71,18,1,4,9
72,25,1,14,4
73,45,2,0,7
74,18,1,4,9
75,35,1,14,3
76,1,2,10,7
77,35,1,7,3
78,18,1,4,2
79,45,2,1,8
80,45,2,0,2
81,56,1,1,0
82,25,2,0,5
83,25,1,17,3
84,25,2,2,4
85,18,1,4,0
86,18,1,4,7
87,1,2,10,7
88,25,1,14,1
89,45,2,1,0
90,56,2,9,7
91,56,1,13,7
92,35,1,7,0
93,18,2,4,4
94,25,1,17,4
95,25,1,17,2
96,45,1,0,3
97,25,2,16,3
98,35,2,3,5
99,35,2,7,7
100,1,2,10,8
101,35,1,17,4
102,18,2,3,3
103,35,1,19,4
104,45,1,7,8
105,25,1,12,3
106,45,1,12,3
107,35,2,11,3
108,45,1,18,7
109,25,1,12,7
110,45,1,15,4
111,25,1,2,4
112,35,1,15,3
113,25,1,16,3
114,18,1,12,3
115,25,2,2,7
116,25,1,17,3
117,25,1,17,9
118,25,1,17,9
119,35,1,17,5
120,1,2,10,4
121,25,1,11,4
122,35,1,7,3
123,18,2,4,3
124,35,1,9,3
125,56,1,7,5
126,45,1,14,7
127,18,1,9,3
128,45,2,3,4
129,56,1,6,0
130,25,1,11,7
131,35,1,17,3
132,18,1,4,5
133,25,1,17,7
134,25,2,0,3
135,25,1,0,3
136,18,1,4,4
137,18,1,2,9
138,45,2,6,3
139,18,1,20,3
140,25,2,20,3
141,35,2,1,5
142,35,1,13,3
143,25,1,7,0
144,18,1,3,3
145,25,1,17,4
146,18,1,4,1
147,35,2,20,6
148,18,1,4,0
149,50,1,17,3
150,25,1,1,3
151,35,1,7,9
152,25,2,20,3
153,18,1,4,0
154,1,1,10,0
155,50,1,20,4
156,35,1,12,5
157,45,2,7,9
158,35,1,16,7
159,56,1,7,6
160,45,2,0,8
161,35,1,7,0
162,45,1,16,0
163,18,2,4,4
164,18,1,4,3
165,56,2,13,6
166,18,1,16,3
167,18,1,4,8
168,25,2,11,4
169,50,2,0,2
170,25,1,7,4
171,25,1,11,3
172,50,2,17,8
173,25,1,3,9
174,25,1,0,3
175,25,1,16,4
176,25,2,2,5
177,18,2,3,4
178,50,1,1,5
179,56,1,17,7
180,25,1,0,3
181,45,1,12,3
182,18,1,17,6
183,18,1,4,8
184,45,2,1,3
185,25,2,0,3
186,45,1,0,0
187,18,1,5,3
188,45,2,1,3
189,56,1,16,3
190,18,1,0,9
191,25,1,17,8
192,18,1,4,4
193,18,1,1,9
194,45,2,15,7
195,1,2,10,5
196,25,1,12,3
197,35,2,9,0
198,18,1,14,0
199,25,1,12,5
200,18,1,4,0
201,18,2,4,6
202,35,2,2,4
203,18,1,4,9
204,18,2,4,3
205,25,1,7,8
206,35,1,12,8
207,25,1,17,5
208,25,1,12,6
209,35,1,17,8
210,35,1,1,4
211,1,2,10,3
212,45,1,17,4
213,25,1,16,5
214,18,2,4,3
215,18,1,20,4
216,35,1,14,0
217,45,1,13,7
218,18,1,4,0
219,35,1,14,6
220,25,2,4,3
221,25,1,12,3
222,25,2,0,7
223,25,1,1,4
224,25,1,17,3
225,18,2,4,2
226,25,1,7,5
227,35,1,1,3
228,35,1,20,3
229,25,1,15,7
230,18,1,10,0
231,45,1,1,4
232,25,1,3,7
233,25,1,20,8
234,45,2,20,3
235,35,1,7,0
236,25,1,0,0
237,25,1,5,6
238,25,1,6,9
239,50,2,7,8
240,18,1,19,9
241,50,1,17,8
242,35,1,20,7
243,18,2,4,7
244,25,1,16,0
245,50,1,7,0
246,35,1,16,9
247,18,2,4,4
248,25,1,17,2
249,18,1,17,9
250,18,2,14,4
251,35,1,16,0
252,56,1,17,9
253,25,1,12,4
254,25,2,11,3
255,35,1,17,6
256,35,1,0,5
257,45,1,16,6
258,18,1,18,3
259,25,1,7,4
260,25,1,1,9
261,18,1,19,9
262,25,1,20,4
263,25,2,1,8
264,25,2,7,6
265,35,1,0,7
266,35,2,7,7
267,35,1,11,3
268,45,1,12,7
269,18,2,12,4
270,25,1,2,3
271,50,1,14,3
272,18,1,4,0
273,18,1,0,5
274,18,1,4,0
275,18,1,4,5
276,25,1,0,2
277,45,1,16,0
278,35,2,1,0
279,45,1,18,9
280,25,1,14,7
281,50,1,7,8
282,35,2,0,8
283,25,1,17,6
284,25,1,0,0
285,25,1,12,4
286,35,2,0,1
287,25,1,1,3
288,50,1,13,8
289,25,2,12,4
290,25,2,0,8
291,25,2,20,2
292,35,1,12,8
293,35,1,7,9
294,56,1,1,7
295,45,2,9,9
296,18,1,0,9
297,50,1,5,6
298,18,1,2,5
299,18,2,4,3
300,25,1,12,5
301,25,1,7,5
302,18,1,4,4
303,18,1,4,3
304,25,1,7,4
305,25,1,0,0
306,18,2,0,9
307,18,1,0,9
308,50,1,16,5
309,25,1,2,7
310,25,1,4,8
311,18,2,4,3
312,18,1,4,0
313,50,2,2,0
314,18,2,4,0
315,56,2,9,6
316,56,2,1,0
317,56,1,13,3
318,35,1,7,3
319,56,2,13,7
320,50,2,6,3
321,35,1,6,7
322,18,1,4,4
323,56,1,17,3
324,45,1,12,9
325,35,1,17,5
326,50,2,3,3
327,50,1,11,8
328,35,1,18,3
329,35,1,12,5
330,35,1,7,9
331,56,1,7,5
332,25,1,7,3
333,50,1,1,3
334,35,1,2,8
335,56,2,2,7
336,35,1,18,0
337,18,1,0,5
338,18,1,19,9
339,35,1,7,7
340,50,1,7,5
341,25,2,3,8
342,56,2,13,2
343,18,1,12,6
344,35,2,3,3
345,35,1,14,8
346,25,1,12,4
347,25,2,0,7
348,56,2,1,0
349,50,1,7,3
350,1,1,10,8
351,45,1,20,7
352,18,1,4,3
353,18,1,4,7
354,35,2,7,3
355,35,1,1,3
356,18,1,3,4
357,56,1,20,6
358,18,1,0,7
359,56,2,1,7
360,25,1,17,6
361,35,1,17,5
362,25,2,14,4
363,35,1,20,4
364,18,1,10,4
365,35,2,1,3
366,18,2,4,7
367,50,1,15,5
368,50,1,12,8
369,25,1,0,0
370,35,1,1,3
371,18,1,17,0
372,18,1,4,9
373,18,2,4,4
374,25,2,2,3
375,35,2,14,3
376,25,1,2,8
377,35,1,1,7
378,25,1,17,3
379,18,2,0,2
380,35,2,1,2
381,25,1,2,3
382,35,1,17,3
383,35,2,20,3
384,25,2,7,7
385,25,1,11,0
386,25,1,6,4
387,25,1,0,7
388,35,2,7,3
389,25,2,0,7
390,25,1,6,8
391,25,1,4,9
